Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2006
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		3 952,4	101,0	19 447	106,4	4 069,1	101,0	18 889	106,4
z toho	A - Zemìdìlství, lesnictví, rybáøství	136,9	97,4	14 802	106,1	141,0	97,7	14 368	105,8
	B - Tìba a dobıvání	44,3	95,7	23 996	107,0	44,4	95,7	23 950	107,1
	C - Zpracovatelskı prùmysl	1 196,5	101,1	18 536	106,8	1 206,3	101,0	18 386	106,9
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	35,7	91,1	29 351	109,7	36,4	91,5	28 805	109,3
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	52,7	99,4	18 571	107,0	53,9	99,3	18 172	107,0
	F - Stavebnictví	262,6	100,5	17 790	106,8	265,0	100,7	17 632	106,6
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	480,5	101,8	17 986	106,0	494,6	101,4	17 471	106,4
	H - Doprava a skladování	270,2	100,0	19 146	105,3	273,3	100,0	18 926	105,3
	I - Ubytování, stravování a pohostinství	117,8	97,0	11 407	108,9	123,0	98,5	10 923	107,3
	J - Informaèní a komunikaèní èinnosti	83,7	104,5	36 223	106,8	85,3	104,9	35 528	106,4
	K - Penìnictví a pojišovnictví	66,1	100,9	38 687	106,7	67,2	101,1	38 039	106,5
	L - Èinnosti v oblasti nemovitostí	41,9	101,5	18 016	104,6	45,0	101,8	16 765	104,2
	M - Profesní, vìdecké a technické èinnosti	129,0	103,5	24 742	104,3	136,0	103,9	23 473	103,9
	N - Administrativní a podpùrné èinnosti	133,5	111,7	13 313	106,1	142,3	110,4	12 491	107,4
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	294,5	100,5	23 292	104,7	300,1	100,5	22 860	104,7
	P - Vzdìlávání	266,7	100,3	20 008	106,6	293,5	100,5	18 182	106,4
	Q - Zdravotní a sociální péèe	251,7	99,7	19 024	108,3	265,9	99,8	18 006	108,2
	R - Kulturní, zábavní a rekreaèní èinnosti	50,2	100,8	16 904	105,1	54,3	100,0	15 615	105,9
	S - Ostatní èinnosti	37,9	107,1	15 598	106,4	41,7	108,6	14 208	105,3
